payload_offset,section,origin_zero_word,assembler_word,delta_or_kind,classification
1389,assembler,1F09,86F7,67EE,normal
138B,assembler,1A9F,828D,67EE,normal
138D,assembler,1E86,8674,67EE,normal
138F,assembler,2C7F,946D,67EE,normal
1391,assembler,1583,7D71,67EE,normal
1393,assembler,13C6,7BB4,67EE,normal
1395,assembler,14E1,7CCF,67EE,normal
1397,assembler,19BB,81A9,67EE,normal
1399,assembler,1E79,8667,67EE,normal
139B,assembler,19BB,81A9,67EE,normal
139D,assembler,19BB,81A9,67EE,normal
139F,assembler,13BF,7BAD,67EE,normal
13A1,assembler,1956,8144,67EE,normal
13A3,assembler,1E07,85F5,67EE,normal
13A9,assembler,1559,7D47,67EE,normal
13AB,assembler,1E15,8603,67EE,normal
13AD,assembler,1EF0,86DE,67EE,normal
13AF,assembler,1847,8035,67EE,normal
13B1,assembler,16E8,7ED6,67EE,normal
13B3,assembler,13D6,7BC4,67EE,normal
13B5,assembler,191F,810D,67EE,normal
13B7,assembler,1E7E,866C,67EE,normal
13B9,assembler,1716,7F04,67EE,normal
13BB,assembler,1716,7F04,67EE,normal
13BD,assembler,1471,7C5F,67EE,normal
13C0,assembler,3E68,A656,67EE,normal
13C3,assembler,24AD,8C9B,67EE,normal
13C7,assembler,13CE,7BBC,67EE,normal
13CA,assembler,2475,8C63,67EE,normal
13CF,assembler,2A17,9205,67EE,normal
13D7,assembler,13DD,7BCB,67EE,normal
13DA,assembler,1B86,8374,67EE,normal
13DE,assembler,2D40,952E,67EE,normal
13E1,assembler,2D11,94FF,67EE,normal
13E7,assembler,27B7,8FA5,67EE,normal
13F1,assembler,2CE5,94D3,67EE,normal
13F6,assembler,26D2,8EC0,67EE,normal
13F9,assembler,22C9,8AB7,67EE,normal
1400,assembler,1449,7C37,67EE,normal
1407,assembler,26D2,8EC0,67EE,normal
140C,assembler,1B94,8382,67EE,normal
1411,assembler,296E,915C,67EE,normal
141B,assembler,29EA,91D8,67EE,normal
1420,assembler,22DA,8AC8,67EE,normal
1426,assembler,2356,8B44,67EE,normal
142E,assembler,22DA,8AC8,67EE,normal
1437,assembler,2D07,94F5,67EE,normal
143E,assembler,26D2,8EC0,67EE,normal
1443,assembler,2659,8E47,67EE,normal
144B,assembler,1D90,857E,67EE,normal
1453,assembler,1D4F,853D,67EE,normal
145C,assembler,2BCA,93B8,67EE,normal
145F,assembler,3E68,A656,67EE,normal
1462,assembler,2C6F,945D,67EE,normal
146B,assembler,2CAC,949A,67EE,normal
1474,assembler,1E6C,865A,67EE,normal
1477,assembler,15E9,7DD7,67EE,normal
147A,assembler,1544,7D32,67EE,normal
147E,assembler,24AD,8C9B,67EE,normal
1482,assembler,151E,7D0C,67EE,normal
1485,assembler,2375,8B63,67EE,normal
1488,assembler,2CE5,94D3,67EE,normal
148B,assembler,2D3F,952D,67EE,normal
1497,assembler,15B9,7DA7,67EE,normal
149D,assembler,15E8,7DD6,67EE,normal
14A3,assembler,1EDB,86C9,67EE,normal
14A9,assembler,15CD,7DBB,67EE,normal
14AD,assembler,27EE,8FDC,67EE,normal
14B6,assembler,27EE,8FDC,67EE,normal
14BD,assembler,1EDB,86C9,67EE,normal
14C4,assembler,205F,884D,67EE,normal
14CD,assembler,14D5,7CC3,67EE,normal
14D0,assembler,2079,8867,67EE,normal
14D3,assembler,201D,880B,67EE,normal
14D6,assembler,1F0F,86FD,67EE,normal
14D9,assembler,2079,8867,67EE,normal
14DC,assembler,1514,7D02,67EE,normal
14DF,assembler,2074,8862,67EE,normal
14E2,assembler,24AD,8C9B,67EE,normal
14E5,assembler,151E,7D0C,67EE,normal
14EA,assembler,1E6C,865A,67EE,normal
14F0,assembler,3E66,A654,67EE,normal
14F4,assembler,151E,7D0C,67EE,normal
14F7,assembler,152E,7D1C,67EE,normal
14FA,assembler,1E6F,865D,67EE,normal
1501,assembler,1E73,8661,67EE,normal
150C,assembler,1E73,8661,67EE,normal
150F,assembler,15CE,7DBC,67EE,normal
1512,assembler,1544,7D32,67EE,normal
1515,assembler,2C32,9420,67EE,normal
1518,assembler,15AC,7D9A,67EE,normal
151B,assembler,153B,7D29,67EE,normal
151E,assembler,3E68,A656,67EE,normal
1521,assembler,2488,8C76,67EE,normal
1524,assembler,151E,7D0C,67EE,normal
1527,assembler,2C6F,945D,67EE,normal
1533,assembler,2335,8B23,67EE,normal
1538,assembler,2375,8B63,67EE,normal
153B,assembler,15AC,7D9A,67EE,normal
153E,assembler,151E,7D0C,67EE,normal
1548,assembler,27EE,8FDC,67EE,normal
155A,assembler,1E6A,8658,67EE,normal
1562,assembler,152E,7D1C,67EE,normal
1565,assembler,3E66,A654,67EE,normal
1568,assembler,151E,7D0C,67EE,normal
