payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
0001,monitor,1F09,9B41,7C38,normal
0024,monitor,11F0,8E28,7C38,normal
002B,monitor,11EA,8E22,7C38,normal
0032,monitor,11E9,8E21,7C38,normal
0039,monitor,11EC,8E24,7C38,normal
0040,monitor,11EB,8E23,7C38,normal
0047,monitor,11EE,8E26,7C38,normal
004E,monitor,11ED,8E25,7C38,normal
0055,monitor,11DC,8E14,7C38,normal
005C,monitor,11DB,8E13,7C38,normal
0063,monitor,11E8,8E20,7C38,normal
006A,monitor,11E7,8E1F,7C38,normal
0071,monitor,11E6,8E1E,7C38,normal
0078,monitor,11E5,8E1D,7C38,normal
007F,monitor,11EF,8E27,7C38,normal
0086,monitor,11EF,8E27,7C38,normal
008D,monitor,11E9,8E21,7C38,normal
0094,monitor,11EB,8E23,7C38,normal
009B,monitor,11ED,8E25,7C38,normal
00A2,monitor,11F1,8E29,7C38,normal
00A9,monitor,11E7,8E1F,7C38,normal
00B0,monitor,11E5,8E1D,7C38,normal
00B7,monitor,11F3,8E2B,7C38,normal
00BE,monitor,11F5,8E2D,7C38,normal
00C5,monitor,11F7,8E2F,7C38,normal
00CC,monitor,11E9,8E21,7C38,normal
00D3,monitor,11EB,8E23,7C38,normal
00DA,monitor,11ED,8E25,7C38,normal
00E1,monitor,11F1,8E29,7C38,normal
00E8,monitor,11E7,8E1F,7C38,normal
00EF,monitor,11E5,8E1D,7C38,normal
01A5,monitor,0E8A,8AC2,7C38,normal
01AF,monitor,2848,A480,7C38,normal
01B6,monitor,1A40,9678,7C38,normal
01B9,monitor,2DE1,AA19,7C38,normal
01BC,monitor,089A,84D2,7C38,normal
01BF,monitor,2D3F,A977,7C38,normal
01C5,monitor,0B33,876B,7C38,normal
01CF,monitor,0A88,86C0,7C38,normal
01DA,monitor,08A9,84E1,7C38,normal
01DF,monitor,2D3F,A977,7C38,normal
01E2,monitor,2FAF,ABE7,7C38,normal
01E5,monitor,2991,A5C9,7C38,normal
01E8,monitor,2C34,A86C,7C38,normal
01EB,monitor,22E0,9F18,7C38,normal
01EE,monitor,251B,A153,7C38,normal
01F1,monitor,22E3,9F1B,7C38,normal
01F4,monitor,1F0F,9B47,7C38,normal
01F7,monitor,2079,9CB1,7C38,normal
01FA,monitor,01B4,7DEC,7C38,normal
01FE,monitor,0FB9,8BF1,7C38,normal
0201,monitor,2848,A480,7C38,normal
0204,monitor,0353,7F8B,7C38,normal
0207,monitor,2838,A470,7C38,normal
020A,monitor,027B,7EB3,7C38,normal
0211,monitor,1F09,9B41,7C38,normal
0216,monitor,0EC3,8AFB,7C38,normal
021B,monitor,1E79,9AB1,7C38,normal
0220,monitor,092A,8562,7C38,normal
0225,monitor,073E,8376,7C38,normal
022A,monitor,1EE3,9B1B,7C38,normal
0230,monitor,024A,7E82,7C38,normal
0233,monitor,02A3,7EDB,7C38,normal
0238,monitor,0E18,8A50,7C38,normal
0243,monitor,06C0,82F8,7C38,normal
0247,monitor,027B,7EB3,7C38,normal
024B,monitor,0303,7F3B,7C38,normal
0253,monitor,027B,7EB3,7C38,normal
0257,monitor,0125,7D5D,7C38,normal
025F,monitor,0E18,8A50,7C38,normal
0268,monitor,0125,7D5D,7C38,normal
0270,monitor,0303,7F3B,7C38,normal
0278,monitor,0E18,8A50,7C38,normal
0284,monitor,0D96,89CE,7C38,normal
0289,monitor,0303,7F3B,7C38,normal
028D,monitor,0E87,8ABF,7C38,normal
